,0
0,178.7189681828022
1,561.6453769207001
2,592.5118165910244
3,76.29184718430042
4,219.91861528158188
5,182.95479574799538
6,363.88466972112656
7,410.7901062518358
8,559.4462660551071
9,426.06502851843834
10,551.1507804393768
11,238.92941838502884
12,392.1199108026922
13,187.14352172613144
14,620.7122572362423
15,425.9777564704418
16,402.63402143120766
17,498.31035202741623
18,468.84210792183876
19,307.0796462893486
20,364.4329996109009
21,566.3504845499992
22,445.399089936167
23,132.65419048070908
24,52.44852989912033
25,248.1005951166153
26,196.15324246883392
27,157.30744117498398
28,361.82266440987587
29,539.240993231535
30,633.5996496379375
31,433.08611527085304
32,466.8760095536709
33,362.78809151798487
34,60.65111178159714
35,437.3375480771065
36,467.7946701645851
37,528.2528657019138
38,218.8170215189457
39,605.4382995963097
40,401.06576508283615
41,370.3142629265785
42,343.46301305294037
43,527.4388038516045
44,494.54987156391144
45,170.68793641030788
46,129.51143980026245
47,578.9729823470116
48,354.38577600568533
49,604.0314036011696
50,300.9282642006874
51,186.87953582406044
52,379.1626789569855
53,301.15765899419785
54,257.66202542185783
55,132.3290160894394
56,289.52610114216805
57,557.692110016942
58,474.52175834029913
59,567.9256157875061
60,39.73429346084595
61,178.33032709360123
62,309.7274387180805
63,217.55559620261192
64,579.6812702789903
65,481.9972567856312
66,503.7004965171218
67,253.1740222722292
68,58.6461865901947
69,371.652409683913
70,272.2192563563585
71,382.44720098376274
72,228.77855283021927
73,80.65100648254156
74,531.6114734336734
75,508.77345022559166
76,302.2822287976742
77,577.3567500710487
78,566.3970265686512
79,383.4917906820774
80,142.3746629357338
81,169.05638432502747
82,363.1187038421631
83,177.79587723314762
84,518.8844233453274
85,456.9480637162924
86,586.4895057743415
87,197.97986233234406
88,584.7660103440285
89,417.4544135928154
90,49.62299117445946
91,103.80977284908295
92,601.7184652686119
93,476.55204466730356
94,552.6986584365368
95,343.8302476108074
96,641.7359226644039
97,633.9390917122364
98,591.376237154007
99,400.3501236438751
100,539.3466436415911
101,178.03520786762238
102,540.5226867198944
103,529.0127675235271
104,512.2664141356945
105,438.094403386116
106,340.1522211432457
107,550.7673825919628
108,585.035199329257
109,496.619148761034
110,347.4443220794201
111,359.19100157916546
112,403.6862262785435
