,0
0,218.5043889284134
1,330.74708038568497
2,524.91037774086
3,76.50870601832867
4,329.56264966726303
5,239.89771556854248
6,482.10334450006485
7,138.33126752078533
8,566.6279000937939
9,456.281954228878
10,572.0851802229881
11,340.3317772746086
12,325.78392712026834
13,150.338507771492
14,561.1042690873146
15,341.6206748485565
16,488.36909943819046
17,377.8417044170201
18,362.5906932801008
19,161.87439541518688
20,299.3484163284302
21,552.6647031009197
22,289.5794216990471
23,146.30304658412933
24,34.83334028720856
25,265.73351346701384
26,204.21870476007462
27,238.65897504985332
28,312.22643119096756
29,540.9942580014467
30,553.6234316006303
31,341.0138448961079
32,517.3368507921696
33,436.691304653883
34,30.261283457279205
35,431.4014495741576
36,500.92509323358536
37,470.191204816103
38,193.58380180597305
39,585.4867750406265
40,487.46669441461563
41,357.40134306252
42,451.31580024957657
43,512.2791417837143
44,406.6999323964119
45,259.29165333509445
46,235.40102376788855
47,575.8830266445875
48,443.85073602199554
49,597.0982716679573
50,399.50539606809616
51,367.80855119228363
52,486.6304780244827
53,356.7200134396553
54,353.7761016488075
55,97.93524411320686
56,340.807687997818
57,612.2062349319458
58,436.6498694717884
59,434.74412083625793
60,318.7652735710144
61,294.2027832865715
62,322.022959202528
63,339.4688549041748
64,668.3688906431198
65,476.2384114265442
66,540.276017010212
67,225.71590213477612
68,272.06719756126404
69,409.8351320535003
70,403.6619490981102
71,525.5961960554123
72,378.0075146853924
73,125.23042249679565
74,560.5485074520111
75,539.1656993590295
76,254.675664588809
77,546.8614547252655
78,356.8236376568675
79,472.177861392498
80,154.0423703789711
81,312.19412702322006
82,421.4933091700077
83,224.93295919895172
84,549.3517125844955
85,739.7902535945177
86,609.9100734591484
87,266.4402159154415
88,649.8946036100388
89,336.06041145324707
90,286.4844953417778
91,74.68160873651505
92,603.0844511389732
93,463.54689306020737
94,547.1248373389244
95,431.88131937384605
96,495.051995517686
97,575.1150378584862
98,582.4510881304741
99,469.601686000824
100,438.04263274371624
101,347.60760420560837
102,586.6951768305153
103,468.22236459702253
104,522.3159909248352
105,484.9280460625887
106,413.6596639752388
107,612.6550680100918
108,593.3997921049595
109,552.6857989430428
110,362.702863663435
111,248.66614206135273
112,359.4072064310312
113,423.7049082517624
114,615.9682755619287
115,182.57198099792004
116,477.8026225566864
117,473.42909449338913
118,471.79339307546616
119,314.818595521152
120,392.43351167440414
121,408.39577865600586
122,509.1487853527069
123,398.66197681427
124,547.190059447661
125,460.7035958170891
126,262.5356876254082
127,167.78308121860027
128,234.2612135708332
129,605.9438862204552
130,598.230863660574
131,354.1012836396694
132,566.577197059989
133,361.7323659360409
134,93.3234847150743
135,561.9438439011574
136,242.5071563720703
137,149.31268191337585
138,257.9229897260666
139,746.6762326657772
140,349.1799824461341
141,213.48453706502914
142,329.3548687696457
143,519.4655349254608
144,620.7114052176476
145,280.8658301830292
146,333.49713619053364
147,336.43217849731445
148,252.67280077934265
149,377.56363260746
150,446.01177754998207
151,561.490286886692
152,532.4691016376019
153,202.8824108839035
154,585.728730738163
155,405.1225397121161
156,232.31505888700485
157,337.4249033331871
158,471.2145606279373
159,250.66757407784462
160,334.3727123737335
161,555.7968796491623
162,317.85892099142075
163,614.8586599230766
164,357.6445042565465
165,128.72903114557266
166,576.3706296682358
167,423.8827729821205
168,601.8161295056343
169,218.85800517490134
170,115.34367051720619
171,613.1378799676895
172,615.6225599050522
173,303.99136132001877
174,237.66542342305183
175,242.74149334430695
176,589.9697556197643
177,243.2729731798172
178,401.41314490139484
179,454.8797377347946
180,464.12268572626635
181,577.0644847750664
182,578.3788086175919
183,547.8917025923729
184,560.9525892138481
185,221.59155178070068
186,520.1202503442764
187,616.0040285587311
188,587.9710146486759
189,554.1839991807938
190,406.81706285476685
191,267.4983145594597
192,578.2908417247236
193,438.66517865657806
194,537.0630879402161
195,321.76763141155243
196,546.4298913180828
197,589.8946132063866
198,432.02768847346306
199,679.4374747574329
